Wall time,Step,Value
1552733008.9925458,2752,7.093042850494385
1552733012.610822,2944,7.246668815612793
1552733042.9294746,4608,6.943338394165039
1552733070.5974338,6080,6.604604721069336
1552733154.5128841,10752,6.842378616333008
1552733226.878057,14720,6.416521072387695
1552733232.6563735,15040,6.526102066040039
1552733257.67083,16384,7.605813980102539
1552733278.8152986,17536,6.212859630584717
1552733319.2147017,19776,6.786409378051758
1552733321.529572,19904,6.869152069091797
1552733330.7075236,20416,6.505370140075684
1552733510.3854246,30400,7.122100830078125
1552733583.5217588,34368,5.676454544067383
1552733632.2299812,37120,5.946203708648682
1552733640.8591866,37568,6.840975761413574
1552733697.2566195,40640,6.110114097595215
1552733711.8161495,41472,6.620046615600586
1552733790.4052718,45760,7.101776123046875
1552733799.4114301,46272,6.359531879425049
1552733905.827913,51392,6.13215446472168
1552733912.7102478,51776,5.581280708312988
1552733944.7718544,53568,6.07797908782959
1552734101.4512491,62208,6.247404098510742
1552734153.1814718,64960,6.297818183898926
1552734213.8767686,68288,6.541770935058594
1552734258.5179396,70720,6.0633745193481445
1552734344.1685026,75584,5.653039932250977
1552734434.573585,80768,6.511822700500488
1552734498.575174,84288,5.993080139160156
1552734501.8885493,84480,5.491896629333496
1552734517.6979744,85376,6.735071659088135
1552734522.5647166,85632,6.000304222106934
1552734577.169558,88704,5.953393936157227
1552734585.1803422,89152,5.6386003494262695
1552734636.7136893,91968,5.471109867095947
1552734670.7051191,93888,6.508729934692383
1552734770.012671,99392,5.952082633972168
1552734820.8385491,101440,5.979703426361084
1552734942.7687547,108288,5.502715110778809
1552734992.9690175,111040,5.279932975769043
1552734996.2379146,111232,5.777863502502441
1552735118.1458867,118080,5.36212158203125
1552735155.5809038,120192,5.995827674865723
1552735200.7416716,122752,6.096787929534912
1552735236.092711,124672,5.814921855926514
1552735338.7682931,130325,5.136136531829834
1552735407.9018404,134165,5.664017200469971
1552735512.1096866,139989,4.788096904754639
1552735525.9925609,140757,5.089920520782471
1552735563.6114109,142805,5.181458473205566
1552735598.001324,144789,4.967114448547363
1552735649.6230896,147669,5.475705146789551
1552735755.1379185,152917,5.474567413330078
1552735807.8789146,155925,5.949527740478516
1552735827.4352052,157013,5.198944091796875
1552735830.0924096,157141,5.922094345092773
1552735835.8172963,157461,5.197844505310059
1552735864.6364145,159061,5.114112854003906
1552735865.6813972,159125,5.933238983154297
1552735878.9927113,159893,4.675879955291748
1552735884.7769523,160213,5.343426704406738
1552735919.0636594,162069,5.382725715637207
1552736096.8463726,171861,4.260102272033691
1552736160.680583,175381,5.534056186676025
1552736424.6215239,189909,4.9990997314453125
1552736508.4774413,194453,4.62476110458374
1552736511.7652953,194645,4.751596927642822
1552736664.381732,202325,4.086689472198486
1552736744.903467,206741,5.0425004959106445
1552736763.2237244,207765,4.956782817840576
1552736764.556049,207829,4.771823883056641
1552736830.3345513,211541,4.908782958984375
1552737032.7461596,222741,4.426602840423584
1552737191.6758814,231573,4.65570592880249
1552737193.853909,231701,4.109923362731934
1552737251.5733354,234901,4.914707660675049
1552737333.6389382,239445,4.7598466873168945
1552737417.3759775,244117,5.404186248779297
1552737425.5032947,244565,4.366103172302246
1552737562.053757,251413,4.070110321044922
1552737594.6673496,253205,5.210354804992676
1552737687.3551342,258325,4.876199245452881
1552737758.49685,262250,4.480541229248047
1552737870.2889836,268522,4.271916389465332
1552737913.0662622,270826,4.415384769439697
1552738012.3830106,276266,4.166275978088379
1552738109.1073523,281578,4.8763203620910645
1552738213.5477264,287466,5.238428115844727
1552738233.1401577,288554,3.572394371032715
1552738257.5487268,289898,4.24913215637207
1552738413.5540657,298474,4.187828063964844
1552738418.5094724,298730,3.5457072257995605
1552738427.3836787,299242,4.16556453704834
1552738572.491002,306410,4.034253120422363
1552738589.4670117,307306,4.027627468109131
1552738632.595024,309738,4.371681213378906
1552738694.4836898,313194,3.8608951568603516
1552738783.9081414,318122,3.879878520965576
1552738876.1952336,323178,3.7735769748687744
1552738878.4956856,323306,3.595710277557373
1552738939.9673698,326762,3.8805899620056152
1552738971.477108,328554,4.277422904968262
1552739212.8839371,342058,4.050762176513672
1552739230.0135546,342954,3.9107820987701416
1552739301.5733743,346858,3.7980706691741943
1552739468.351204,355114,3.535367727279663
1552739618.5115602,363434,3.9744961261749268
1552739669.0659592,366250,3.4306540489196777
1552739768.290349,371690,3.685312509536743
1552739831.4025517,375274,3.2972254753112793
1552739839.8730674,375722,3.923684597015381
1552739881.0543518,378026,3.774031639099121
1552739977.1672645,383338,3.6412625312805176
1552740138.6076446,392319,3.2222397327423096
1552740217.8162997,396735,3.2516002655029297
1552740240.4702485,397951,3.1070008277893066
1552740337.3607984,402431,3.125267267227173
1552740364.3697124,403903,3.286432981491089
1552740440.0583122,407999,3.454592227935791
1552740607.5412276,417215,3.667036294937134
1552740670.0775862,420671,3.8493876457214355
1552740703.01838,422527,2.9430551528930664
1552740809.098915,428479,3.664254903793335
1552740812.7597036,428671,3.213901996612549
1552740826.6543083,429439,3.9041900634765625
1552740989.88976,438591,3.0156569480895996
1552741117.4547331,445759,3.5587406158447266
1552741302.2772112,455231,3.933137893676758
1552741350.2962947,457855,3.4529037475585938
1552741530.3170323,467839,3.5116991996765137
1552741610.8267047,472383,3.53275203704834
1552741688.6475313,476735,3.677889347076416
1552741700.4018943,477375,3.0766539573669434
1552741704.003023,477567,2.819617509841919
1552741722.4017894,478527,3.6145782470703125
1552741759.692281,480639,3.3774940967559814
1552741968.4722683,492287,3.740774631500244
1552742080.165688,498367,3.279697895050049
1552742091.5590575,499007,3.4759230613708496
1552742147.282581,501247,3.3798537254333496
1552742325.750647,511359,4.041596412658691
1552742410.7438223,516159,4.513442039489746
1552742539.7036812,523412,3.581881046295166
