Wall time,Step,Value
1551165713.5608206,2752,8.475340843200684
1551165715.0211005,2944,7.732452392578125
1551165727.2359517,4608,7.842625141143799
1551165738.1069093,6080,7.897297382354736
1551165772.219526,10752,6.492241859436035
1551165800.781432,14720,5.616484642028809
1551165803.0539207,15040,7.144792079925537
1551165812.9730127,16384,7.055027484893799
1551165821.4310324,17536,7.330196380615234
1551165837.471045,19776,6.8950629234313965
1551165838.4141958,19904,6.955367088317871
1551165842.2249115,20416,6.32818078994751
1551165915.727016,30400,6.948864936828613
1551165944.447124,34368,6.512707710266113
1551165964.5195446,37120,5.5010175704956055
1551165967.6890545,37568,6.631305694580078
1551165990.167207,40640,6.666016578674316
1551165996.4867263,41472,7.0627970695495605
1551166028.2752178,45760,6.264792442321777
1551166031.9178212,46272,6.83724308013916
1551166077.5634594,51392,6.18830680847168
1551166080.2735186,51776,6.334028244018555
1551166093.6941803,53568,6.140944480895996
1551166155.992842,62208,6.479726791381836
1551166175.994626,64960,5.900065898895264
1551166200.4320292,68288,7.2061686515808105
1551166218.3770485,70720,5.8143815994262695
1551166254.2237022,75584,5.897060394287109
1551166291.7278857,80768,6.121517181396484
1551166317.4441712,84288,5.932162284851074
1551166318.6921332,84480,5.901883125305176
1551166325.2371776,85376,6.137922286987305
1551166327.2406466,85632,6.139276504516602
1551166349.245354,88704,6.202101707458496
1551166352.505346,89152,5.251580238342285
1551166372.8745103,91968,6.06997013092041
1551166386.3554647,93888,6.1858673095703125
1551166426.7747996,99392,6.052507400512695
1551166450.8890598,101440,6.2739458084106445
1551166501.1187804,108288,5.935741424560547
1551166520.9183793,111040,5.5671586990356445
1551166522.4411445,111232,5.802589416503906
1551166572.3099442,118080,5.1877031326293945
1551166587.6644878,120192,4.877523422241211
1551166606.4591658,122752,4.893460273742676
1551166620.5740564,124672,5.432419776916504
1551166662.1250958,130325,5.366467475891113
1551166690.219461,134165,4.970489025115967
1551166732.556959,139989,5.662315845489502
1551166738.2896898,140757,4.992571830749512
1551166753.3652444,142805,5.290798187255859
1551166767.8056815,144789,5.688955307006836
1551166789.0272415,147669,5.4163031578063965
1551166836.7737224,152917,5.141965866088867
1551166859.4170125,155925,5.8288774490356445
1551166867.4721525,157013,6.191102027893066
1551166868.2844274,157141,4.89195442199707
1551166870.7948046,157461,5.356754779815674
1551166882.7528543,159061,6.110204696655273
1551166883.1837578,159125,5.002593994140625
1551166888.7100925,159893,5.318726062774658
1551166891.1192997,160213,4.855193138122559
1551166904.4940832,162069,5.436922073364258
1551166975.8941424,171861,5.00193452835083
1551167002.0652332,175381,4.830265998840332
1551167108.3919702,189909,5.3161444664001465
1551167141.4383774,194453,4.416804313659668
1551167142.8316739,194645,5.273531436920166
1551167207.6043458,202325,5.429035186767578
1551167240.132912,206741,5.223383903503418
1551167247.4938927,207765,5.322761535644531
1551167248.0043402,207829,4.598601818084717
1551167275.023666,211541,5.273571014404297
1551167356.7046063,222741,5.471543788909912
1551167420.9085183,231573,5.7427520751953125
1551167421.8976228,231701,4.578363418579102
1551167445.320913,234901,5.4307050704956055
1551167478.6696079,239445,4.512787818908691
1551167512.6773868,244117,4.922732353210449
1551167515.7944388,244565,4.275128364562988
1551167575.1005743,251413,5.278863906860352
1551167588.2179282,253205,4.564658164978027
1551167625.578625,258325,4.707926273345947
1551167654.656968,262250,4.753946304321289
1551167700.9558663,268522,4.624378681182861
1551167717.9950457,270826,5.073237419128418
1551167757.8166852,276266,4.4360127449035645
1551167796.516025,281578,4.431735038757324
1551167838.4385226,287466,4.54909610748291
1551167846.4622595,288554,4.7497124671936035
1551167856.3303196,289898,4.247422218322754
1551167919.0201395,298474,4.477851867675781
1551167920.9826193,298730,4.334257125854492
1551167924.5519562,299242,4.278557777404785
1551167985.6181548,306410,4.073317050933838
1551167992.246344,307306,4.924696922302246
1551168010.197255,309738,4.2362060546875
1551168036.024014,313194,4.540388107299805
1551168072.199557,318122,4.833236217498779
1551168109.0448797,323178,4.760745525360107
1551168109.9523757,323306,4.4305033683776855
1551168135.943365,326762,4.142704963684082
1551168149.0495727,328554,3.9181342124938965
1551168247.7904572,342058,3.990741491317749
1551168254.4933808,342954,3.813760757446289
1551168283.4835167,346858,4.0920209884643555
1551168353.0693684,355114,4.814251899719238
1551168413.0334811,363434,3.585188865661621
1551168433.5499911,366250,4.023557186126709
1551168472.2078958,371690,3.859683036804199
1551168498.4525733,375274,3.609931468963623
1551168501.6668797,375722,3.665341854095459
1551168518.3875456,378026,4.203024864196777
1551168557.0225146,383338,3.394585132598877
1551168622.7206788,392319,3.4387407302856445
1551168654.4494016,396735,4.294500350952148
1551168663.1548367,397951,3.8088574409484863
1551168704.739706,402431,3.7238669395446777
1551168715.3560903,403903,4.052414894104004
1551168745.4821553,407999,3.609175682067871
1551168813.042749,417215,3.6707539558410645
1551168838.1884289,420671,3.7696847915649414
1551168851.5358372,422527,3.0234735012054443
1551168894.8537974,428479,5.121767044067383
1551168896.4343653,428671,4.076422691345215
1551168902.1032612,429439,3.4332680702209473
1551168968.7341309,438591,3.755539894104004
1551169021.6792004,445759,3.7833189964294434
1551169100.377593,455231,2.7551963329315186
1551169119.69227,457855,4.310298919677734
1551169193.628441,467839,4.612907409667969
1551169227.655348,472383,3.5218334197998047
1551169259.1257977,476735,3.478834629058838
1551169263.6927001,477375,2.9686663150787354
1551169265.1486168,477567,3.402914047241211
1551169272.1844277,478527,3.450063943862915
1551169287.2174904,480639,3.2603888511657715
1551169371.70759,492287,3.143749237060547
1551169416.6976852,498367,3.036407232284546
1551169421.3101208,499007,3.711697578430176
1551169446.941363,501247,3.95914626121521
1551169520.4415379,511359,3.7694640159606934
1551169555.1752822,516159,3.8878798484802246
1551169607.5967252,523412,2.6957812309265137
1551169626.8809266,526036,3.2230658531188965
1551169692.8407059,535124,3.034574031829834
1551169695.2303224,535444,3.655796766281128
1551169699.340202,536020,2.856769561767578
1551169742.7161596,541972,3.5318334102630615
1551169755.7410831,543764,3.455801010131836
1551169760.427254,544404,3.113799571990967
1551169804.394607,550356,3.3420443534851074
1551169829.1012483,552532,3.2890024185180664
1551169942.5870569,568084,3.2610230445861816
1551169956.1505313,569940,2.649533271789551
1551169966.2176597,571284,2.787437915802002
1551169969.6057444,571732,2.989856719970703
1551169996.1711047,575444,3.5662124156951904
1551170025.5883267,579412,3.5157482624053955
1551170120.8302763,592532,2.908461093902588
1551170146.6567836,596116,3.8028135299682617
1551170161.9999804,598164,3.9204864501953125
1551170212.1434712,603732,3.824545383453369
1551170227.4084527,605844,3.6899688243865967
1551170267.7401235,611348,3.620483875274658
1551170273.8160706,612180,3.4002106189727783
1551170315.3708255,617940,2.846132755279541
1551170326.42403,619412,3.136753797531128
1551170334.9490921,620564,3.280336856842041
1551170403.0116,629844,2.6657936573028564
1551170433.5132022,633940,3.626983642578125
1551170504.5651476,643604,3.4365272521972656
1551170516.7240386,645268,3.0423102378845215
1551170616.152647,657513,3.0235862731933594
1551170619.5839107,657961,3.0442352294921875
1551170673.3295593,665385,2.924868583679199
1551170710.9280462,670505,2.896475076675415
1551170731.6289933,673257,3.083573818206787
1551170770.726238,678697,3.0706210136413574
1551170785.263241,680681,3.068789482116699
1551170792.7045507,681705,3.195493221282959
1551170819.5053442,685353,4.338677406311035
1551170840.5273635,688297,3.13647198677063
1551170841.021021,688361,2.959141254425049
1551170851.4458826,689769,2.9312589168548584
1551170879.960929,693673,3.0465080738067627
1551170883.97539,694249,2.5673162937164307
1551170908.6893432,697577,2.8219988346099854
1551170910.1985726,697769,2.4224281311035156
